'Device_status', 'Cow_ID', 'Time', 'Activity', 'Pulse', 'Temperature', 'Blood_Preasure', 'respirtion_Rate', 'Cow_Owner'

['active'],[1],[00/00/00],[laying],[2.6],[37],[157],[1.4],['Mpho']
['active'],[1],[00/00/01],[laying],[2.5],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/02],[laying],[2.5],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/03],[laying],[2.5],[35],[157],[1.4],['Mpho']
['active'],[1],[00/00/04],[laying],[2.5],[35],[157],[1.4],['Mpho']
['active'],[1],[00/00/05],[laying],[2.5],[35],[157],[1.5],['Mpho']
['active'],[1],[00/00/06],[laying],[2.4],[35],[157],[1.4],['Mpho']
['active'],[1],[00/00/07],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/08],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/09],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/10],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/11],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/12],[laying],[2.4],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/13],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/14],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/15],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/16],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/17],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/18],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/19],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/20],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/21],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/22],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/23],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/24],[laying],[2.3],[37],[157],[1.4],['Mpho']
['active'],[1],[00/00/25],[laying],[2.4],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/26],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/27],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/28],[laying],[2.4],[36],[157],[1.4],['Mpho']
['active'],[1],[00/00/29],[laying],[2],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/30],[laying],[2.4],[38],[157],[1.5],['Mpho']
['active'],[1],[00/00/31],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/32],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/33],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/34],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/35],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/36],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/37],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/38],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/39],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/40],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/41],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/42],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/43],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/44],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/45],[laying],[3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/46],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/47],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/48],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/49],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/50],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/51],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/52],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/53],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/54],[laying],[2.],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/55],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/56],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/57],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/00/58],[laying],[2.3],[38],[157],[1.4],['Mpho']
